ID;CD_GEOCODM;NM_MUNICIP;V8Mo;V8d;V1;V2;V3;V4;V5;V6;V7;V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001
359;5200050;ABADIA DE GOIÁS;4971;1398;43.2;97.42;28.61;13.25;50.27;3.39;5.65;3.56;135.3788541;42.53270998;2.334205236;Medio;Baixo;Baixo
360;5200100;ABADIÂNIA;11452;3214;39.76;88.64;41.6;18.22;43.72;6.97;8.34;3.56;3.241049731;8.653947025;1.212313424;Baixo;Baixo;Baixo
361;5200134;ACREÚNA;18301;5183;37.24;85.03;12.98;20.32;48.59;4.9;9.84;3.53;101.935306;91.00263625;10.53938942;Baixo;Medio;Baixo
362;5200159;ADELÂNDIA;2460;737;25.51;88.47;26.87;22.19;70.61;9.84;8.14;3.34;14.13624047;87.37570025;3.841649726;Baixo;Medio;Baixo
363;5200175;ÁGUA FRIA DE GOIÁS;4469;1144;53.15;79.55;59;23.95;57.94;20.88;19.58;3.91;8.109757112;76.12225318;2.596684191;Baixo;Medio;Baixo
364;5200209;ÁGUA LIMPA;2200;685;28.03;92.99;25.99;15.49;51.07;5.79;9.93;3.21;56.37775802;26.59943779;4.102826265;Baixo;Baixo;Baixo
365;5200258;ÁGUAS LINDAS DE GOIÁS;105746;26388;98.15;95.77;67.22;18.86;63.92;7.46;11.97;4.01;32.13257668;20.44093033;2.6834327;Baixo;Baixo;Baixo
366;5200308;ALEXÂNIA;20047;5505;35.62;92.84;26.16;18.6;61.3;7.34;8.96;3.64;16.33144867;18.44810297;0.730305303;Baixo;Baixo;Baixo
367;5200506;ALOÂNDIA;2128;737;23.74;77.75;24.15;18.35;45.73;4.01;5.97;2.89;16.26619801;27.12410427;4.196151248;Baixo;Baixo;Baixo
368;5200555;ALTO HORIZONTE;2564;755;39.34;71.92;34.3;16.13;38.34;8.41;15.63;3.4;119.1892571;44.8080772;26.78366761;Baixo;Baixo;Medio
369;5200605;ALTO PARAÍSO DE GOIÁS;6182;1517;23.27;73.04;23.47;17.87;65.6;5.57;14.63;4.08;5.803101641;13.85618063;1.994141254;Baixo;Baixo;Baixo
370;5200803;ALVORADA DO NORTE;7560;1913;15.58;83.48;41.19;22.85;71.29;6.32;16.94;3.95;69.07588124;143.7048153;12.50400093;Baixo;Alto;Baixo
