fid;ID;CD_GEOCODM;NM_MUNICIP;CODIGO;V8Mo;V8d;V8;V1;V2;V3;V4;V5;V6;V7;I_V1;CL_V1;I_V2;CL_V2;I_V3;CL_V3;I_V4;CL_V4;I_V5;CL_V5;I_V6;CL_V6;I_V7;CL_V7;I_V8;CL_V8;DB2001;HB2001;LTB2001;DBC2001;HBC2001;LTBC2001;DM2001_2009;HM2001_2009;LTM2001_2009;CMD20012009;CMH20012009;CMLT20012009
1;359;5200050;ABADIA DE GOIÁS;5200050;4971;1398;3,56;43,2;97,42;28,61;13,25;50,27;3,39;5,65;0,142618025;0;-0,306292192;0;0,275887505;2;0,741791568;2;0,016534589;0;0,403688161;2;0,306556119;0;0,029890385;0;135,3788541;42,53270998;2,334205236;Medio;Hiperendem;Medio;270,1131;98,564;1,3817;Alto;Hiperendemico;Medio
2;360;5200100;ABADIÂNIA;5200100;11452;3214;3,56;39,76;88,64;41,6;18,22;43,72;6,97;8,34;-0,064375267;0;-0,409521996;0;-0,106324205;0;-0,070100176;4;0,245179135;2;-0,030183298;0;0,017776746;0;-0,121214203;0;3,241049731;8,653947025;1,212313424;Baixo;Medio;Medio;16,3929;20,322;2,3451;Baixo;MuitoAlto;Medio
3;361;5200134;ACREÚNA;5200134;18301;5183;3,53;37,24;85,03;12,98;20,32;48,59;4,9;9,84;-0,039310964;0;0,092786798;0;0,557480225;0;0,089502468;0;0,001623476;0;0,066596075;0;-0,090101431;0;-0,002591273;0;101,935306;91,00263625;10,53938942;Medio;Hiperendem;MuitoAlto;125,8311;150,267;8,2663;Medio;Hiperendemico;Alto
4;362;5200159;ADELÂNDIA;5200159;2460;737;3,34;25,51;88,47;26,87;22,19;70,61;9,84;8,14;0,361360778;0;-0,171884228;0;0,023103336;0;-0,310407399;0;-1,027248918;4;-0,067570623;0;0,030061374;0;0,088994254;0;14,13624047;87,37570025;3,841649726;Baixo;Hiperendem;Medio;57,8689;92,862;5,0013;Baixo;Hiperendemico;Alto
5;363;5200175;ÁGUA FRIA DE GOIÁS;5200175;4469;1144;3,91;53,15;79,55;59;23,95;57,94;20,88;19,58;0,039842639;0;0,043885248;0;0,297493585;0;0,637190069;0;0,583967263;1;1,761028108;0;1,999987493;1;0,608850604;1;8,109757112;76,12225318;2,596684191;Baixo;Hiperendem;Medio;19,6206;39,024;16,7627;Baixo;MuitoAlto;MuitoAlto
6;364;5200209;ÁGUA LIMPA;5200209;2200;685;3,21;28,03;92,99;25,99;15,49;51,07;5,79;9,93;0,281753893;0;0,197823724;0;0,406658733;2;0,400862246;2;-0,153884238;4;0,098738847;2;-0,150771633;4;0,206355354;0;56,37775802;26,59943779;4,102826265;Baixo;MuitoAlto;Medio;119,9707;27,869;2,6921;Medio;MuitoAlto;Medio
7;365;5200258;ÁGUAS LINDAS DE GOIÁS;5200258;105746;26388;4,01;98,15;95,77;67,22;18,86;63,92;7,46;11,97;-0,042242666;0;-0,545038966;0;-0,128716038;0;-0,059626953;0;0,434609985;0;0,031401474;0;0,498560359;0;0,684864512;1;32,13257668;20,44093033;2,6834327;Baixo;MuitoAlto;Medio;21,712;17,23;0,9959;Baixo;Alto;Baixo
8;366;5200308;ALEXÂNIA;5200308;20047;5505;3,64;35,62;92,84;26,16;18,6;61,3;7,34;8,96;0,110932841;1;0,3038907;0;-0,266658788;0;-0,003687443;0;-0,076211442;0;0,00794288;0;0,02283987;0;0,150296982;0;16,33144867;18,44810297;0,730305303;Baixo;Alto;Baixo;13,9859;20,42;2,8428;Baixo;MuitoAlto;Medio
9;367;5200506;ALOÂNDIA;5200506;2128;737;2,89;23,74;77,75;24,15;18,35;45,73;4,01;5,97;0,490019491;0;0,060974975;0;0,528310779;2;-0,075187575;0;0,202503443;2;0,324100297;0;0,202129164;0;0,481740647;0;16,26619801;27,12410427;4,196151248;Baixo;MuitoAlto;Medio;29,6076;34,109;6,9481;Baixo;MuitoAlto;Alto
10;368;5200555;ALTO HORIZONTE;5200555;2564;755;3,4;39,34;71,92;34,3;16,13;38,34;8,41;15,63;0,391248408;1;0,035462239;0;0,0350306;1;-0,064991043;0;-0,495471779;0;0,138103795;0;0,356802405;0;-0,020192088;0;119,1892571;44,8080772;26,78366761;Medio;Hiperendem;Hiperendem;321,4825;39,295;19,2011;MuitoAlto;MuitoAlto;MuitoAlto
